BILL DATE,CUSTOMER,mat,QUANTITY,region,MATERIAL description
07-02-2023,HANWA CO LTD,SILICO MANGANESE  Mn 65% to 70%,21,TOKYO,SILICO MANGANESE Mn 65% to 70%
07-02-2023,HANWA CO LTD,SILICO MANGANESE  Mn 65% to 70%,21,TOKYO,SILICO MANGANESE Mn 65% to 70%
07-02-2023,HANWA CO LTD,SILICO MANGANESE  Mn 65% to 70%,21,TOKYO,SILICO MANGANESE Mn 65% to 70%
07-02-2023,HANWA CO LTD,SILICO MANGANESE  Mn 65% to 70%,21,TOKYO,SILICO MANGANESE Mn 65% to 70%
07-02-2023,HANWA CO LTD,SILICO MANGANESE  Mn 65% to 70%,21,TOKYO,SILICO MANGANESE Mn 65% to 70%
07-02-2023,HANWA CO LTD,SILICO MANGANESE  Mn 65% to 70%,21,TOKYO,SILICO MANGANESE Mn 65% to 70%
07-02-2023,HANWA CO LTD,SILICO MANGANESE  Mn 65% to 70%,21,TOKYO,SILICO MANGANESE Mn 65% to 70%
07-02-2023,HANWA CO LTD,SILICO MANGANESE  Mn 65% to 70%,21,TOKYO,SILICO MANGANESE Mn 65% to 70%
06-02-2023,HANWA CO LTD,SILICO MANGANESE  Mn 65% to 70%,21,TOKYO,SILICO MANGANESE Mn 65% to 70%
06-02-2023,HANWA CO LTD,SILICO MANGANESE  Mn 65% to 70%,21,TOKYO,SILICO MANGANESE Mn 65% to 70%
06-02-2023,HANWA CO LTD,SILICO MANGANESE  Mn 65% to 70%,21,TOKYO,SILICO MANGANESE Mn 65% to 70%
06-02-2023,HANWA CO LTD,SILICO MANGANESE  Mn 65% to 70%,21,TOKYO,SILICO MANGANESE Mn 65% to 70%
